fold,n_layer,layer_size,n_features,f_engineer,normalize,val_acc
5,2,2,4,0,1,88.22495606
5,2,4,1,1,1,91.03690685
5,2,4,1,0,1,88.40070299
5,2,4,2,1,1,86.81898067
5,2,4,2,0,1,87.52196837
5,2,4,4,1,1,89.98242531
5,2,4,4,0,1,89.45518453
5,2,8,1,1,1,89.10369069
5,2,8,1,0,1,89.63093146
5,2,8,2,1,1,84.35852373
5,2,8,2,0,1,88.04920914
5,2,8,4,1,1,88.57644991
5,2,8,4,0,1,87.17047452
5,2,16,1,1,1,88.75219684
5,2,16,1,0,1,89.45518453
5,2,16,2,1,1,86.29173989
5,2,16,2,0,1,87.17047452
5,2,16,4,1,1,83.65553603
5,2,16,4,0,1,83.83128295
5,2,32,1,1,1,88.57644991
5,2,32,1,0,1,89.63093146
5,2,32,2,1,1,84.8857645
5,2,32,2,0,1,86.11599297
5,2,32,4,1,1,81.01933216
5,2,32,4,0,1,85.06151142
5,2,64,1,1,1,88.75219684
5,2,64,1,0,1,89.10369069
5,2,64,2,1,1,82.42530756
5,2,64,2,0,1,86.46748682
5,2,64,4,1,1,79.78910369
5,2,64,4,0,1,82.07381371
5,2,128,1,1,1,87.87346221
5,2,128,1,0,1,89.63093146
5,2,128,2,1,1,80.31634446
5,2,128,2,0,1,82.24956063
5,2,128,4,1,1,76.2741652
5,2,128,4,0,1,80.49209139
5,3,2,1,1,1,91.21265378
5,3,2,1,0,1,91.21265378
5,3,2,2,1,1,89.27943761
5,3,2,2,0,1,89.45518453
5,3,2,4,1,1,91.21265378
5,3,2,4,0,1,88.92794376
5,3,4,1,1,1,88.75219684
5,3,4,1,0,1,89.80667838
5,3,4,2,1,1,91.03690685
5,3,4,2,0,1,89.27943761
5,3,4,4,1,1,88.04920914
5,3,4,4,0,1,86.81898067
5,3,8,1,1,1,88.92794376
5,3,8,1,0,1,89.45518453
5,3,8,2,1,1,87.34622144
5,3,8,2,0,1,85.06151142
5,3,8,4,1,1,92.3884007
5,3,8,4,0,1,83.65553603
5,3,16,1,1,1,89.27943761
5,3,16,1,0,1,89.80667838
5,3,16,2,1,1,82.95254833
5,3,16,2,0,1,86.46748682
5,3,16,4,1,1,81.89806678
5,3,16,4,0,1,85.76449912
5,3,32,1,1,1,86.99472759
5,3,32,1,0,1,89.80667838
5,3,32,2,1,1,78.3831283
5,3,32,2,0,1,82.60105448
5,3,32,4,1,1,76.44991213
5,3,32,4,0,1,78.55887522
5,3,64,1,1,1,81.89806678
5,3,64,1,0,1,89.98242531
5,3,64,2,1,1,74.51669596
5,3,64,2,0,1,76.44991213
5,3,64,4,1,1,72.40773286
5,3,64,4,0,1,73.63796134
5,3,128,1,1,1,77.6801406
5,3,128,1,0,1,78.55887522
5,3,128,2,1,1,70.4745167
5,3,128,2,0,1,69.42003515
5,3,128,4,1,1,70.4745167
5,3,128,4,0,1,69.59578207
6,1,2,1,1,1,94.02460457
6,1,2,1,0,1,94.20035149
6,1,2,2,1,1,93.32161687
6,1,2,2,0,1,91.56414763
6,1,2,4,1,1,92.7943761
6,1,2,4,0,1,93.84885764
6,1,4,1,1,1,94.02460457
6,1,4,1,0,1,93.4973638
6,1,4,2,1,1,92.61862917
6,1,4,2,0,1,92.7943761
6,1,4,4,1,1,94.37609842
6,1,4,4,0,1,93.32161687
6,1,8,1,1,1,93.02460457
6,1,8,1,0,1,92.97012302
6,1,8,2,1,1,93.14586995
6,1,8,2,0,1,92.7943761
6,1,8,4,1,1,92.26713533
6,1,8,4,0,1,93.4973638
6,1,16,1,1,1,93.32161687
6,1,16,1,0,1,93.67311072
6,1,16,2,1,1,89.98242531
6,1,16,2,0,1,90.33391916
6,1,16,4,1,1,91.91564148
6,1,16,4,0,1,91.91564148
6,1,32,1,1,1,92.61862917
6,1,32,1,0,1,92.97012302
6,1,32,2,1,1,91.03690685
6,1,32,2,0,1,90.50966608
6,1,32,4,1,1,90.15817223
6,1,32,4,0,1,91.56414763
6,1,64,1,1,1,92.61862917
6,1,64,1,0,1,93.4973638
6,1,64,2,1,1,88.75219684
6,1,64,2,0,1,89.98242531
6,1,64,4,1,1,90.68541301
6,1,64,4,0,1,90.15817223
6,1,128,1,1,1,92.61862917
6,1,128,1,0,1,92.26713533
6,1,128,2,1,1,88.75219684
6,1,128,2,0,1,90.15817223
6,1,128,4,1,1,87.34622144
6,1,128,4,0,1,89.98242531
6,2,2,1,1,1,92.44288225
6,2,2,1,0,1,93.32161687
6,2,2,2,1,1,92.97012302
6,2,2,2,0,1,92.7943761
6,2,2,4,1,1,95.02460457
6,2,2,4,0,1,92.97012302
6,2,4,1,1,1,94.02460457
6,2,4,1,0,1,94.37609842
6,2,4,2,1,1,94.56414763
6,2,4,2,0,1,93.14586995
6,2,4,4,1,1,93.84885764
6,2,4,4,0,1,91.3884007
6,2,8,1,1,1,92.7943761
6,2,8,1,0,1,93.14586995
6,2,8,2,1,1,91.03690685
6,2,8,2,0,1,91.73989455
6,2,8,4,1,1,91.56414763
6,2,8,4,0,1,92.44288225
6,2,16,1,1,1,92.97012302
6,2,16,1,0,1,93.67311072
6,2,16,2,1,1,89.63093146
6,2,16,2,0,1,88.40070299
6,2,16,4,1,1,86.81898067
6,2,16,4,0,1,87.69771529
6,2,32,1,1,1,92.7943761
6,2,32,1,0,1,93.67311072
6,2,32,2,1,1,85.06151142
6,2,32,2,0,1,90.86115993
6,2,32,4,1,1,84.71001757
6,2,32,4,0,1,87.69771529
6,2,64,1,1,1,92.26713533
6,2,64,1,0,1,92.61862917
6,2,64,2,1,1,86.46748682
6,2,64,2,0,1,87.87346221
6,2,64,4,1,1,82.42530756
6,2,64,4,0,1,85.06151142
6,2,128,1,1,1,92.61862917
6,2,128,1,0,1,92.61862917
6,2,128,2,1,1,81.37082601
6,2,128,2,0,1,85.41300527
6,2,128,4,1,1,78.3831283
6,2,128,4,0,1,83.12829525
6,3,2,1,1,1,92.44288225
6,3,2,1,0,1,93.4973638
6,3,2,2,1,1,92.7943761
6,3,2,2,0,1,93.84885764
6,3,2,4,1,1,94.32161687
6,3,2,4,0,1,92.0913884
6,3,4,1,1,1,92.44288225
6,3,4,1,0,1,92.7943761
6,3,4,2,1,1,91.21265378
6,3,4,2,0,1,91.21265378
6,3,4,4,1,1,90.68541301
6,3,4,4,0,1,93.14586995
6,3,8,1,1,1,93.4973638
6,3,8,1,0,1,92.7943761
6,3,8,2,1,1,92.0913884
6,3,8,2,0,1,88.04920914
6,3,8,4,1,1,87.87346221
6,3,8,4,0,1,90.50966608
