dataset,num_layers,layer_size,test_fold,test_ratio,stop_epoch,train_loss,val_loss,test_loss,time
cancer,3,64,2,0.2,97,0.7247940301895142,0.86857008934021,1.6250059604644775,2.094743013381958
cancer,3,64,2,0.3,94,0.6494580507278442,1.0036994218826294,1.6841254234313965,2.071540117263794
cancer,3,64,2,0.4,122,0.6413074731826782,1.024932622909546,1.4236167669296265,2.1987032890319824
cancer,3,64,2,0.5,117,0.6263858079910278,0.9888132214546204,1.5218561887741089,2.1319100856781006
cancer,1,8,1,0.4,220,0.8971231579780579,1.2117624282836914,1.2623049020767212,1.8513193130493164
cancer,3,128,1,0.1,13,0.791680097579956,1.5896228551864624,1.3762831687927246,2.039956331253052
cancer,3,128,1,0.2,53,0.6442800164222717,1.2611632347106934,1.369588017463684,2.2982420921325684
cancer,3,128,1,0.3,39,0.6639235019683838,1.2509040832519531,1.3451858758926392,2.183485507965088
cancer,3,128,1,0.4,36,0.6654019951820374,1.1979652643203735,1.401302695274353,2.124699354171753
cancer,3,128,1,0.5,48,0.5435994267463684,1.173040747642517,1.3869105577468872,2.1826331615448
cancer,3,128,2,0.1,115,0.6397804021835327,0.9852303266525269,1.7988420724868774,2.5323164463043213
cancer,3,128,2,0.2,121,0.6406047344207764,0.788701593875885,1.7368804216384888,6.392124652862549
cancer,3,128,2,0.3,109,0.6701796650886536,0.9206019043922424,1.680105447769165,6.29928994178772
cancer,3,128,2,0.4,101,0.6536486148834229,0.9768388271331788,1.4703412055969238,6.194685459136963
cancer,3,128,2,0.5,106,0.5905231833457947,0.96753990650177,1.471230149269104,6.2227818965911865
cancer,1,8,1,0.5,231,0.8393190503120422,1.1673731803894043,1.2521501779556274,1.851979732513428
